Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Web & Mobile Dev for Remote Patient Care Management Software,Custom Software Development,"$200,000 to $999,999",Sept. 2016 - Ongoing,"Experion Technologies is building a mobile and web patient care platform for iOS, Android, and all main browsers. They provided end-to-end development for the platform and will offer support once it is live.",None,"CTO, Healthcare Software Company",Healthcare & Medicine,1-10 Employees,Texas,
Mobile App Dev for Healthcare Products Sales Reporting Tool,Mobile App Development,Confidential,Dec. 2015 - Ongoing,"Experion Technologies created an Android mobile application solution for apharmaceutical company to replace a time-consuming paper reporting system, involving back and frontend development work.",Varun Arora,"Sr. Manager Corporate Strategy, Wings Biotech",Pharmaceuticals,201-500 Employees,"Delhi, India",
Mobile and Web Application for German Startup,Mobile App Development,"$50,000 to $199,999",Dec. 2013 - June 2014,"Experion created a smartphone app for iOS and Android alongside a web version, cooperating with German designers to meet local UX and functionality preferences.",None,"Co-founder, German Startup",Agriculture,1-10 Employees,Germany,
Product Expansion for Hospitality Software,Development,"$50,000 to $199,999",June 2014 - Ongoing,"Experion developed a software solution for cruise vessels, primarily focusing on meeting the provided requirements with Android-based deliverables. They now support mobility growth and system performance.",None,"Founder, Hospitality Software",Computer Software,11-50 Employees,Miami Metro Area,
Mobile App Dev for Established Youth Sports Brand,Mobile App Development,Confidential,Mar. - Aug. 2013,"Utility led mobile iOS app development, including UX, UI, backend services, and CMS buildouts. They also designed and developed awebsite for the app as well as provided strategic digital counsel.",None,"CMO, Fivestar Training",None,Startup,"New York, New York",
E-Learning Dev for Major Hospital System,Web Development,Confidential,Nov. 2016 - Ongoing,"Utility leads all digital efforts, including a responsive site redesign and the development of a robust e-learning platform for engaging families through animated video. They also manage the backend and server.",None,"Operations Manager, Mount Sinai Hospital (Parenting Center)",Hospital & Health Care,"10,001+ Employees","New York, New York",
Mobile-First Web Dev & Design for Staffing Firm,Web Development,"$50,000 to $199,999",Apr. - July 2017,"Utility salvaged a site redesign after a previous vendor was unsatisfactory. They took over development and design, major bug fixing, and also helped internal teams with digital strategy and the re-launch.",None,"Account Executive, Clarity Staffing",Staffing & Recruiting,11-50 Employees,"New York, New York",
Live Streaming Platform Design & Dev for New TV Network,Web Development,"$50,000 to $199,999",Nov 2014 - May 2015,"Utility led design, development, and implementation of a robust web portal and CMS. Their work included responsive development, UX, UI, live video streaming architecture, and advanced search filtering.",None,"Director, Wall Street Week (SkyBridge Capital)",Investment Management,51-200 Employees,"New York, New York",
Registration & Booking Portal Dev for Marketing Agency,Custom Software Development,"$50,000 to $199,999",Oct. 2016 - Feb. 2017,"Utility rapidly designed and developed a robust event registration portal and booking portal, both of which are mobile-compatible and have integrated on-site functionalities.",None,"Senior Account Director, Agency",Marketing and Advertising,51-200 Employees,"New York, New York",
AR Interactive Game Dev for Large Sporting Event,AR/VR Development,Confidential,Nov. 2014 - Feb. 2015,Utility created wireframes and rapidly developed an iOS and Android application with built-in augmented reality components and integrated branding.,None,"Senior Director, Agency",Marketing and Advertising,11- 50 Employees,"El Segundo, California",
Frontend & Backend Swift Development for Agency,Web Development,Confidential,Mid 2014 - Early 2015,"Utility used Swift, Zeppelin, and Sketch to develop the front and backend of a marketing application. They also developed a CMS and contributed to overall marketing strategies.",Remy Sylvan,"Former Senior User Experience Designer & Product Owner, Impact Republic",Digital Media & Technology,11- 50 Employees,"New York, New York",
Mobile App Dev for Sports Telehealth Business,Mobile App Development,"$200,000 to $999,999",Apr. 2015 - June 2016,"Utility ledUI/UX and development for an iOS, Android, and web-based platform. They optimized the integration of TokBox and DICOM complex technologies, and also provided QA.",Andrew Willert,"Director of Business Development, SirenMD",IT Services,1-10 Employees,"Miami, Florida",
Product Development for Consumer Entertainment Startup,Development,Confidential,June 2015 - Ongoing,Utility developed a unified web/mobile solution meant to upload & share multimedia. The platform enables seamless project collaboration for distributed user groups. Ongoing enhancements are now the main focus.,None,Co-Founder & CEO,Entertainment,1-10 Employees,"Los Angeles, California",
Long-Term Dev for Entertainment Agency,Custom Software Development,Confidential,Nov. 2014 - Ongoing,"Utility handles information architecture, data security, and custom software integration for a variety of projects. Key features includeuser authentication, currency exchange, and geolocation.",None,"VP, Global Program Lead, Civic Entertainment Group",Marketing & Advertising,51-200 Employees,"New York, New York",
Mobile App Dev for Event & Social Networking Platform,Mobile App Development,"$50,000 to $199,999",Dec. 2017 - Ongoing,"nomtek is developing theMVP of an iOS app that helps users find local events. They handle all front- and backend coding, along with most of the UX design.",None,"Founder, Social Nightlife App",Internet,1-10 Employees,"Copenhagen, Denmark",
Mobile App Dev for Property Management Platform,Mobile App Development,"$50,000 to $199,999",Feb. - May 2018,"nomtek refactored several iterations of a mobile app using agile development in React Native for iOS and Android. New features include a built-from-scratch search engine, checkout flow, and onboarding wizard.",None,"Former Head of Development, Home Management Platform",Internet,1-10 Employees,"Copenhagen, Denmark",
Ruby on Rails iOS Dev for Health & Fitness Platform,Mobile App Development,"$200,000 to $999,999",Aug. 2017 - Feb. 2018,"nomtek provided Ruby on Rails iOS development, carefully planning and then building the backend infrastructure, data architecture, user flows, and processes.",Dilesh Bhimjiani,"Co-Founder, Switch DXB","Health, Wellness, & Fitness",11-50 Employees,"Dubai, United Arab Emirates",
Mobile App Dev for Creative Online Social Community,Mobile App Development,Confidential,Oct. 2014 - Ongoing,"nomtek is buildingnative iOS and Android apps that allow users to upload photos and video to a social network. They handleUI/UX design, backend development, testing, and launch.",None,"Co-Founder, Safe Social Community for Children",Internet,11-50 Employees,"Brussels, Belgium",
Mobile App Dev for Apartment Community Social Network,Mobile App Development,"$50,000 to $199,999",June 2017 - Ongoing,"nomtek started by consulting to narrow the scope. Then, they built the needed website and mobile application to connect neighbors living in the same buildings. They built the app for iOS in Firebase.",Christian Mannheimer,"Co-Founder, iHomie",Internet,1-10 Employees,"Stockholm, Sweden",
Product Development for Online Marketplace,Mobile App Development,"$50,000 to $199,999",Jan. 2017 - Ongoing,nomtek provided mobile app development and design services to get this new marketplace started on the iOS and Android platforms. They have produced the first version and are currently working on a second.,None,"CEO, Online Marketplace",Internet,1-10 Employees,Germany,
Mobile App Development for Educational Organization,Mobile App Development,Confidential,None,Nomtek helped in the development of a mobile app to attract more teachers to a classroom management tool. The team provided both technical expertise and app optimization advice.,None,CTO at Educational Organization,Education,51-200 Employees,Poland,
Mobile Application for United Kingdom Nonprofit,Mobile App Development,Confidential,None,"Nomtek worked on a mobile diet-tracking app to facilitate registration of patients, nutritionists, and research. App components included user accounts, adatabase of consumable products, and UX/UI. ",None,"Consultant and Research Partner, UK Food Nonprofit",Non-profit,11-50 Employees,United Kingdom,
