Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
VR App Dev for Marketing Agency,AR/VR Development,"$1,000,000 - $9,999,999",Aug. 2016 - Mar. 2017,"Groove Jones and Boyden & Youngblutt created a VR experience for a solutions platform with a suite of products and services. The intended goal of the offering is to create efficiencies and better patient outcomes for hospitals. It ran through an iOS and Android app and it premiered at a tradeshow. It appeals directly to doctors, surgeons, hospitals and healthcare administrators.",Jerry Youngblutt,"Principal, Boyden & Youngblutt",Advertising & marketing,11 - 50 Employees,"Nashville, Tennessee"
Virtual Reality App Dev for Interior Design Company,AR/VR Development,"$200,000 to $999,999",Jan. 2017 - ngoing,Groove Jones developed a VR software/station and VR mobile app to showcase products at a tradeshow. They also provided technical support and are currently working on VR environment technology.,Ken Salyer Jr.,"CEO, TRI-KES",Real estate,50-100 Employees,"Dallas, Texas"
Virtual Reality & 360 Video for Telecommunications Company,AR/VR Development,Confidential,Jan. 2016 - Mar. 2016,"Groove Jones filmed, developed, and produced a VR experience to immerse and entertain viewers. To reach a large audience, they created a 360 video that was uploaded to YouTube.",None,"Former Marketing Manager, Telecommunications Company",Telecommunications,"45,000+","New York, New York"
VR Experience Development for McDonald's ,AR/VR Development,Confidential,Mar. 2016 - May 2016,Groove Jones created a virtual reality experience for event attendees to play games and decorate the inside of a Happy Meal box.,None,"Former VP of Digital Engagement, McDonald's",Food & Beverages,"10,000+","Chicago, Illinois"
VR Platform Dev for Gas Appliance Manufacturer,AR/VR Development,"$50,000 to $199,999",Sept. 2017 - Dec. 2017,"Groove Jones developed a virtual reality platform to demonstrate the benefits of a new product. Additionally, they assisted during tradeshow presentations by engaging customers.",David Federico,"Sr. Brand Manager, Rinnai",Manufacturing,200-500 Employees,"Atlanta, Georgia"
Mobile Application for Nutritional Product Retailer,Mobile App Development,"$10,000 to $49,999",Sept. 2015 - Ongoing,ADAMAPP LTD developed a mobile app for Android and iOS. The team created a self-service backend and linked the customer relationship management system and content API with various functionalities.,None,"Digital Director for Eastern Europe, Nutritional Product Retailer",Consumer Products,1001-5000 Employees,"Prague, Czech Republic"
App Development for Lottery & Betting Company,Mobile App Development,"$50,000 to $199,999",Feb. 2013 - Ongoing,"Adam App developed the client's mobile app, which enables users to display the lottery results, check the bet slip via barcode scan, and place online bets after they complete the registration and age verification steps.",Alesh Hegenbart,"Digital Marketing Manager, Sazka",Entertainment,201-500 Employees,"Prague, Czech Republic"
Mobile and Web Development for Conference Rating Platform,Development,"$10,000 to $49,999",Jun. 2016 - Jan. 2017,"Using PHP, Matelio developed an integrated user-ratings platformweb, iOS, and Androidfrom scratch. Key features included filtered searching and geolocation.",Mark Dubbin,"Owner, Condor Solutions",Information Technology and Services,11-50 Employees,"Alberta, Canada"
E-Commerce Web Dev for Trading Company,Web Development,"Less than $10,000",2016 - Ongoing,"Using PHP technology, Matellio developed an e-commerce website from scratch, including the frontend, backend, and design. They set up accounts for administrative users and for distributors.",Raza Butt,"CEO, Trading In Commodities",Consumer Products,1-10 Employees,"Brussels, Belgium"
Android App Development for Pedometer,Mobile App Development,"$50,000 to $199,999",June 2017 - Jan. 2018,"Matellio provided an outsourced development team to create a mobile pedometer app on Android, focusing on creating a robust backend and making it easy to use. They also included a reporting feature.",None,"Head of Marketing, Newspaper Publishing Company",Healthcare & Life Sciences,201-500 Employees,"Udaipur, India"
Web & Mobile App Dev for Photography Resource Platform,Mobile App Development,"$10,000 to $49,999",Mar. 2017 - Ongoing,"Matellio created design specificationsfor a website and admin panel, and also developed the front and backend of a native iOS and Android application. They currently provide maintenance.",Wei Lian,"CEO, Yiupai Inc",Internet,1-10 Employees,California
Web & App Dev for Vehicle Tracking Service,Development,"$200,000 to $999,999",2008 - Ongoing,"Matellio developed a website and app to allow users to track a vehicles speed and receive reports of vehicles in unauthorized areas. Responsibilities include design, implementation, and ongoing enhancements.",Rajiv Sharma,K S Technosoft ,"Director, Information and Technology Services",51- 200 Employees,"Jaipur, India"
App Development for Mechanical Equipment Service,Development,Confidential,Sept. 2016 - Ongoing,Matellio developed and designed iOS and Android apps for the mechanical engineering industry. They also helped with UX and market penetration strategy. They continue to work on maintenance and new developments.,Chris Eberhardt,"Founder, TimeLock Documentation",Mechanical or Industrial Engineering,1-10 Employees,"San Jose, California"
App Development for Automotive Client,Mobile App Development,"$10,000 to $49,999",Mar. 2016 - Ongoing,Matellio was hired by a task management software firm that offers task management for automotive clients to develop efficiency software tools.,None,"Director of Marketing, Automotive Industry Firm",Automotive,51-200 employees,"Miami, Florida Area"
Enterprise Software Development for Consultancy,Custom Software Development,"$10,000 to $49,999",Mar. 2016 - Ongoing.,Matellio was engaged by a consultancy client to develop a custom enterprise application to calculate how much is spent on sales or marketing activities.,None,"Owner, Consulting Firm",Business Services,2-10 employees,"Pittsburgh, Pennsylvania Area"
Mobile App Development for Education Startup,Mobile App Development,"Less than $10,000",None,Matellio provided end-to-end services for the development of a mobile-based messaging app. The project was completed in 4 months.,None,"Co-Founder, Education Startup",Education,None,San Francisco Bay Area
Enterprise App Development for IT Solutions Company,Mobile App Development,"$50,000 to $199,999",None,Matellio has collaborated on a variety of projects including enterprise app development and improvements in operational efficiency for third party clients. The team handles multiple projects simultaneously.,None,"CIO, IT Solutions Company",IT Services,51-200 Employees,Washington DC Metro Area
App Development for Healthcare Market Project,Mobile App Development,"$50,000 to $199,999",Mar. 2016 - June 2016,"Mubaloo developed an app that helps users with home-based healthcare. The team designed the apps user interface and related website, adding features like user dashboards and chatbots.",None,None,Oil & Energy,"10,001 + Employees",United Kingdom
Mobile App Dev & Digital Consultancy for Investment Firm,Mobile App Development,"$200,000 to $999,999",July 2015 - Ongoing,Mubaloo developed a native iOS and Android app for investment managers to provide for their end investors. The app features a glossary and investment charts. Mubaloo also consults on the digital space.,None,"Solutions Director, SEI",Financial Services,51-200 Employees,"London, United Kingdom "
App Development for Logistics and Consulting Company,Development,"$50,000 to $199,999",2015,Mubaloo developed an iOS application from scratch for a logistics and manufacturing firm. The app provides training for internal staff on consultancy propositions.,Alex Neill,"Innovation Director, Unipart",Logistics and Supply Chain,"5,000-10,000 Employees","Oxford, United Kingdom"
App Development for Facilities Management Company,Development,"$200,000 to $999,999",None,"Mubaloo developed a mobile app, extending the clients existing desktop solution and database offerings for their customers.",None,"IT Lead, Facilities Management Company",Facilities Services,"5001 - 10,000 Employees",United Kingdom
Mobile App for Investment Management Corporation,Mobile App Development,"$50,000 to $199,999",None,"After designing and developing a management company's mobile iOS app,Mubaloo providedongoing development resources. They also planned an Android app.",None,"Head of Corporate Applications Team, Investment Management Corporation",Investment Management,"1001-10,000 Employees","London, United Kingdom"
App Development for Wealth Management Firm,Mobile App Development,Confidential,None,Mubaloo developed an application for both the Android and iOS platforms. They were chosen for this project because of previous successful work within the industry.,None,"Product Manager, Wealth Management Firm",Financial Services,1001-5000 employees,United Kingdom
iPad App for Roadside Assistance Service,Mobile App Development,"Less than $10,000",None,Mubaloo developed and launched an iPad app to be used by a roadside assistance service'ssales team. Theycontinueto provide service and support.,None,"Project Manager, Roadside Assistance Service",Automotive,"1001-10,000 Employees",United Kingdom
Android App Development for Online Retailer,Mobile App Development,"$200,000 to $999,999",None,"Mubaloo migrated an iOS app to the Android platform, taking the Objective C code base and creating a carbon copy in Android Java code.",None,"Project Manager, Online Retailer",Retail,"1001-10,000 Employees","London, United Kingdom"
iPad App Development for Nonprofit,Mobile App Development,"$200,000 to $999,999",None,Mubaloo was selected via a third party to design and develop an emergency trauma service'sfully integrated iPad app.,None,"COO, London's Air Ambulance",Medical Practice,11-50 Employees,"London, United Kingdom"
Mobile Apps and UX/UI for Pensions Service,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,"Mubaloo redesigned and relaunched a self-service web presence, including a mobile app, with an emphasis on better UX. They later added aresponsive site and second app.",None,None,Pension Services,1001-10.000 Employees,"London, United Kingdom"
